,name,amount,price,reviews,cost_per_ml
626,Bottega Veneta Pour Homme  ,90,94.26,7.6,1.0473333333333334
628,Hermes H24  ,30,27.6,7.4,0.92
629,Khadlaj Private Blend Tobac Extra  ,100,21.99,6.8,0.21989999999999998
630,Rabanne 1 Million Royal  ,100,65.52,7.7,0.6552
631,BVLGARI Man In Black  ,100,73.95,7.9,0.7395
632,Tommy Hilfiger Impact Men  ,100,22.55,7.9,0.2255
633,Coach Green  ,100,32.99,7.5,0.3299
635,Dior Fahrenheit  ,50,67.7,7.9,1.354
636,Dior Homme  ,50,52.99,8.5,1.0598
637,Jean Paul Gaultier Scandal Le  ,30,44.95,7.8,1.4983333333333335
639,BVLGARI BLV Pour Homme  ,100,94.95,7.0,0.9495
640,Cristiano Ronaldo CR7 Play It Cool  ,50,13.8,7.2,0.276
641,Salvatore Ferragamo Intense Leather  ,100,38.93,7.6,0.3893
642,Ralph Lauren Polo Deep Blue  ,75,52.95,7.7,0.7060000000000001
644,Geoffrey Beene Grey Flannel  ,240,13.04,7.2,0.05433333333333333
645,Jean Paul Gaultier Ultra Male  ,200,97.95,7.9,0.48975
646,JOOP! Homme  ,75,18.88,6.8,0.2517333333333333
647,Clinique Happy for Men  ,50,15.45,7.4,0.309
648,Penhaligon's The Tragedy Of Lord George  ,75,223.04,8.1,2.9738666666666664
649,Carolina Herrera 212 VIP Black  ,50,45.0,7.7,0.9
650,Diesel Sound of the Brave  ,125,31.45,6.3,0.2516
651,Giorgio Armani Code  ,50,34.45,7.6,0.6890000000000001
652,David Beckham Instinct  ,75,11.4,6.4,0.152
653,Giorgio Armani Stronger With You  ,150,76.5,8.3,0.51
654,Diesel D Red  ,100,27.03,6.8,0.2703
655,Thierry Mugler Alien Man Fusion  ,100,42.95,6.3,0.42950000000000005
656,Pascal Morabito Rose Edition Oud  ,100,16.8,8.3,0.168
658,Porsche Design Palladium  ,100,39.95,5.5,0.3995
659,Rabanne 1 Million Royal  ,50,45.5,7.7,0.91
660,Armaf Tag Him Uomo Rosso  ,100,18.7,8.3,0.187
661,Mercedes Benz Club  ,100,33.48,8.2,0.3348
662,BVLGARI Man Wood Neroli  ,100,48.95,7.5,0.48950000000000005
663,Karl Lagerfeld Classic  ,150,23.95,7.3,0.15966666666666665
664,Antonio Banderas The Icon  ,100,14.95,6.9,0.1495
665,James Bond 007 Seven  ,50,49.99,4.5,0.9998
666,Diesel Only The Brave  ,35,22.61,6.3,0.646
667,La Fede Intoxicate  ,100,13.0,8.3,0.13
668,Michael Kors Pour Homme Absolu  ,100,60.18,7.0,0.6018
669,Dunhill Icon Racing Blue  ,100,32.95,7.8,0.3295
670,Azzaro The Most Wanted Intense  ,50,39.99,8.0,0.7998000000000001
671,Police Wild Night  ,100,8.7,8.0,0.087
672,Prada L'Homme  ,150,88.48,8.4,0.5898666666666667
674,Montblanc Explorer Ultra Blue  ,60,29.95,6.5,0.49916666666666665
675,Jean Paul Gaultier Le Male Elixir ,200,110.95,8.3,0.55475
676,Burberry Mr. Burberry Indigo  ,100,89.01,6.8,0.8901
677,Givenchy Gentleman Boisee  ,100,49.95,8.0,0.49950000000000006
678,Dolce & Gabbana Light Blue Pour Homme  ,200,63.95,7.6,0.31975000000000003
679,Hugo Boss BOSS Bottled Lavender  ,50,51.76,6.6,1.0352
680,Giorgio Armani Acqua Di Gio Profumo  ,125,210.79,8.3,1.68632
681,Rochas Eau De Rochas Homme  ,200,48.99,7.8,0.24495
682,Hugo Boss Bottled  ,100,49.84,7.4,0.4984
683,Franck Olivier Pure Homme Men  ,100,15.75,6.7,0.1575
