,name,amount,price,reviews,cost_per_ml
974,JOOP! Homme  ,75,17.33,6.8,0.23106666666666664
975,Gucci Guilty Black  ,50,52.74,6.7,1.0548
976,Clubman Pinaud Lime Sec  ,370,16.77,7.0,0.045324324324324324
977,Moschino Toy Boy  ,50,31.05,7.5,0.621
978,Trussardi Uomo  ,30,23.09,8.1,0.7696666666666666
979,Davidoff Cool Water  ,100,39.15,7.2,0.39149999999999996
980,Thierry Mugler Angel  ,50,36.75,6.8,0.735
982,Lacoste Match Point  ,100,83.99,6.5,0.8399
983,Carolina Herrera 212 Sexy Men  ,30,21.93,7.6,0.731
984,Jaguar For Men Evolution  ,100,12.97,6.7,0.1297
985,Cartier Déclaration  ,150,75.25,7.4,0.5016666666666667
986,Versace Eros  ,10,10.99,7.5,1.099
987,Police Sport  ,100,8.4,7.6,0.084
988,Ungaro Pour L'Homme III  ,100,16.83,7.6,0.16829999999999998
989,Penhaligon's Fortuitous Finley  ,75,210.78,7.7,2.8104
990,Rue Broca Théorème Matrix  ,90,17.43,8.1,0.19366666666666665
991,Daniel Hechter Collection Couture Black  ,100,11.0,6.8,0.11
992,Jean Paul Gaultier Ultra Male  ,40,57.86,7.9,1.4465
994,Just Jack Vetiver  ,100,13.7,8.0,0.13699999999999998
995,Paris Corner Prodigy Noir  ,100,18.2,8.0,0.182
996,Diesel Only The Brave Street  ,125,39.34,5.6,0.31472
997,Giorgio Armani Acqua Di Gio Pour Homme  ,30,34.99,7.8,1.1663333333333334
998,Dunhill Signature Collection Arabian Desert  ,100,52.02,7.6,0.5202
1000,Azzaro Chrome Extreme  ,50,45.69,7.7,0.9138
1001,STR8 Original  ,100,18.45,7.0,0.1845
1002,Remy Latour Cigar  ,100,26.98,7.9,0.2698
1003,Aramis New West  ,100,45.99,7.5,0.45990000000000003
1004,David Beckham Instinct 20TH Anniversary  ,50,13.37,7.3,0.26739999999999997
1006,Guerlain L'Homme Ideal  ,100,79.1,8.4,0.7909999999999999
1007,BVLGARI Pour Homme  ,100,79.04,7.3,0.7904000000000001
1008,Versace Man Eau Fraiche  ,30,23.99,7.5,0.7996666666666666
1009,Giorgio Armani Stronger With You  ,30,48.5,8.3,1.6166666666666667
1010,Lacoste L.12.12 Silver Grey  ,50,24.08,6.6,0.4816
1011,Sergio Tacchini Club  ,100,7.0,7.7,0.07
1012,Calvin Klein Eternity Aqua For Men  ,20,8.65,6.3,0.4325
1013,Moschino Toy 2 Pearl  ,100,48.99,6.7,0.4899
1014,Jimmy Choo Man Blue  ,30,22.4,6.1,0.7466666666666666
1015,Jimmy Choo Man  ,50,28.95,7.5,0.579
1016,Rasasi Hawas Malibu  ,100,30.34,8.1,0.3034
1017,BVLGARI Man Rain Essence  ,100,63.9,7.1,0.639
1018,Givenchy Insense Ultramarine Men  ,100,32.95,7.0,0.3295
1020,Dunhill Fresh  ,100,65.0,7.4,0.65
1021,Hugo Boss The Scent Pure Accord For Him  ,100,46.98,6.1,0.4698
1022,BVLGARI Man In Black   ,60,85.37,7.9,1.4228333333333334
1023,Ralph Lauren Polo Blue  ,75,53.57,7.1,0.7142666666666667
1025,Thierry Mugler A*Men  ,50,33.99,8.3,0.6798000000000001
1027,Roberto Cavalli Uomo  ,100,23.4,7.4,0.23399999999999999
1028,Bentley Infinite Rush  ,100,40.0,7.4,0.4
1029,Antonio Banderas Diavolo  ,100,13.95,6.6,0.13949999999999999
1032,Cerruti 1881 Riviera  ,100,19.99,7.9,0.1999
1034,Gisada Ambassador for Men  ,50,73.0,7.5,1.46
1035,Armaf Club De Nuit Man  ,30,13.4,7.5,0.44666666666666666
1036,Montblanc Emblem  ,100,32.45,6.5,0.3245
1037,Yves Saint Laurent MYSLF Le  ,40,56.38,7.7,1.4095
1038,Burberry Hero  ,100,70.76,7.3,0.7076
1039,Jil Sander Sun Men  ,200,26.96,7.5,0.1348
1040,Davidoff Champion Energy  ,90,74.99,5.8,0.8332222222222222
1043,Lattafa Raghba Wood Intense  ,100,13.4,7.6,0.134
1044,Alfred Sung Sung Homme  ,100,11.5,7.6,0.115
1045,Yves Saint Laurent Y Intense  ,100,85.45,7.1,0.8545
1047,Carolina Herrera Bad Boy Extreme  ,50,55.95,7.7,1.119
1049,Amouage Jubilation XXV Men  ,100,259.99,8.3,2.5999
1050,Mercedes Benz Sea  ,60,24.03,6.7,0.4005
1052,Gucci Guilty Black  ,90,61.79,6.7,0.6865555555555556
1053,Imperial Zilli Cuir  ,100,47.0,7.9,0.47
1054,Lattafa Musamam Black Intense  ,100,38.99,7.8,0.3899
1055,Yves Saint Laurent L'Homme Le  ,100,84.95,8.0,0.8495
1056,Nuxe Prodigieux Le   ,50,34.6,7.5,0.6920000000000001
1058,Rabanne 1 Million Elixir  ,50,55.42,7.8,1.1084
1059,Rochas Moustache  ,125,49.0,8.1,0.392
1060,BVLGARI Man Wood Essence  ,200,84.76,6.7,0.4238
1061,Calvin Klein Eternity For Men Cologne ,100,18.1,5.8,0.18100000000000002
1062,Lacoste Match Point  ,30,19.5,6.5,0.65
1063,Dolce & Gabbana The One Grey  ,50,36.9,6.7,0.738
1064,Bentley Infinite Intense  ,100,26.27,7.8,0.2627
1065,Rabanne Pure Xs  ,50,30.75,6.6,0.615
1066,Hugo Boss Iced  ,75,21.95,7.2,0.29266666666666663
1067,Carolina Herrera Bad Boy Cobalt  ,150,93.95,7.5,0.6263333333333333
1068,Chanel Allure Homme Edition Blanche  ,100,135.99,8.5,1.3599
1069,Boucheron Pour Homme  ,100,24.23,7.7,0.24230000000000002
1070,Hugo Boss Bottled Tonic  ,50,30.95,6.7,0.619
1071,Gucci Guilty Pour Homme  ,50,50.9,8.1,1.018
1072,Amouage Epic Men  ,100,312.3,8.0,3.123
1074,Giorgio Armani Code Absolu  ,200,225.95,8.0,1.12975
1075,Jil Sander Sun Men  ,125,19.6,7.5,0.15680000000000002
1076,Dolce & Gabbana Pour Homme  ,125,47.6,7.6,0.3808
1077,Narciso Rodriguez Vetiver Musc For Him  ,100,45.95,7.2,0.4595
1078,Burberry Hero  Intense ,50,61.4,7.5,1.228
1079,Penhaligon's The Cut  ,100,162.21,7.5,1.6221
1080,Xerjoff Shooting Stars Kobe  ,50,144.25,7.7,2.885
1082,Calvin Klein Reveal  ,30,16.75,7.0,0.5583333333333333
1083,Ralph Lauren Polo Black  ,75,29.0,6.7,0.38666666666666666
1084,Dunhill X-Centric  ,100,29.0,7.5,0.29
1085,Rabanne Pour Homme  ,200,54.5,7.7,0.2725
1086,Juicy Couture Dirty English  ,100,13.35,7.3,0.1335
1087,Carolina Herrera Chic Men  ,60,26.41,7.7,0.44016666666666665
1088,Jil Sander Ultrasense  ,40,65.0,5.7,1.625
1089,Jean Paul Gaultier Scandal Pour Homme  ,150,77.86,6.8,0.5190666666666667
1090,Carolina Herrera CH Birds Of Paradise For Him  ,100,199.99,7.9,1.9999
1091,Diesel Spirit Of The Brave  ,200,50.01,7.1,0.25005
1092,Versace Eros Energy  ,200,85.5,7.5,0.4275
1093,Dior Sauvage Eau Forte ,60,87.99,5.8,1.4665
1094,Guerlain L'Homme Ideal Extreme  ,100,66.47,8.3,0.6647
1095,Jimmy Choo Man Aqua  ,200,48.95,7.2,0.24475000000000002
1097,Prada Luna Rossa Ocean  ,150,98.49,7.0,0.6566
1098,Prada L´Homme Intense  ,150,149.99,8.3,0.9999333333333333
1099,Boucheron Singulier  ,100,25.84,7.5,0.2584
1100,Burberry London Men  ,50,18.64,7.9,0.3728
1101,Perry Ellis 360 Red  ,200,28.5,7.5,0.1425
1102,Azzaro The Most Wanted Intense  ,100,47.5,8.0,0.475
1103,Issey Miyake L'Eau d'Issey Pour Homme  ,150,64.94,7.7,0.43293333333333334
1105,Antonio Banderas The Icon Perfume  ,200,14.34,6.6,0.0717
1106,Cristiano Ronaldo CR7 Play It Cool  ,100,24.5,7.2,0.245
1107,Bruno Banani Magic Man  ,30,8.47,6.2,0.2823333333333334
1110,Mercedes Benz Sign Your Attitude  ,50,23.31,7.4,0.46619999999999995
1111,Jimmy Choo Man Aqua  ,100,37.05,7.2,0.3705
1112,Cuba Gold  ,35,5.93,7.1,0.16942857142857143
1113,Ralph Lauren Polo  ,125,49.99,7.8,0.39992
1114,Hugo Boss Hugo XY  ,100,22.55,5.8,0.2255
1116,Floris Santal  ,100,59.85,7.3,0.5985
1117,Carolina Herrera Bad Boy  ,150,81.65,6.3,0.5443333333333333
1118,BVLGARI Man In Black  ,60,59.95,7.9,0.9991666666666668
1119,David Beckham Classic Homme  ,100,8.26,7.2,0.08259999999999999
1120,Mexx Black Man  ,50,11.06,6.4,0.2212
1121,Carolina Herrera 212 VIP Men  ,100,48.37,7.7,0.48369999999999996
1123,Boucheron Jaipur Homme  ,100,29.49,8.1,0.2949
1124,Rabanne PHANTOM Intense  ,50,50.57,7.2,1.0114
1125,BVLGARI Man In Black  ,15,39.99,7.9,2.666
1126,Thierry Mugler A*Men Fantasm  ,100,62.08,7.7,0.6208
1127,Ralph Lauren Polo Blue  ,75,55.95,7.1,0.746
1128,David Beckham Instinct  ,30,10.64,6.4,0.3546666666666667
1129,Calvin Klein Free Men  ,30,14.0,5.6,0.4666666666666667
1131,Diesel Spirit Of The Brave  ,125,31.95,7.1,0.2556
1132,Ralph Lauren Big Pony 1  ,100,21.45,5.8,0.2145
1133,Milano Man  ,50,6.95,10.0,0.139
1134,Fila For Men  ,100,23.49,6.6,0.2349
1135,Chopard 1000 Miglia  ,80,18.54,6.8,0.23174999999999998
1136,Giorgio Armani Code   ,50,59.05,7.6,1.181
1137,Guess Seductive Red Homme  ,100,19.8,6.4,0.198
1138,Celine Fever Pour Homme  ,30,7.99,7.9,0.26633333333333337
1139,Antonio Banderas King of Seduction Absolute  ,100,17.95,7.6,0.1795
1140,Lacoste L'Homme  ,150,64.99,7.5,0.43326666666666663
1141,Hugo Boss Bottled United  ,100,89.0,6.3,0.89
1143,Versace The Dreamer  ,50,18.99,7.6,0.37979999999999997
1144,Bruno Banani Dangerous Man  ,30,99.01,4.9,3.3003333333333336
1145,Burberry Touch For Men  ,50,18.55,7.3,0.371
1146,Armaf Club De Nuit Intense Man  ,30,24.99,7.5,0.833
1147,Gucci Guilty Pour Homme  ,50,37.92,8.1,0.7584000000000001
1149,Azzaro Chrome Legend  ,100,26.2,6.8,0.262
1150,Azzaro Chrome  ,30,23.93,6.9,0.7976666666666666
1151,Salvatore Ferragamo Acqua Essenziale Blu  ,100,30.6,7.4,0.306
1152,Gucci Guilty Absolute  ,8,19.02,7.7,2.3775
1153,Giorgio Armani Acqua Di Gio Profondo  ,125,92.0,7.6,0.736
1154,Issey Miyake Le Sel D'  ,100,59.95,7.8,0.5995
1155,Dunhill D  ,100,45.0,6.8,0.45
1156,Salvatore Ferragamo for Men  ,100,41.48,7.4,0.41479999999999995
1158,Dior Homme Cologne ,125,89.95,8.2,0.7196
1159,Rue Broca Pride Intense  ,100,16.0,7.2,0.16
1160,Mauboussin Homme  ,100,33.59,7.7,0.33590000000000003
1162,Dunhill Desire Black  ,100,29.95,7.3,0.2995
1163,Calvin Klein Defy  ,100,45.5,5.9,0.455
1164,Rabanne Invictus Platinum  ,200,199.99,7.1,0.99995
1165,Zimaya Ramsh Imperium  ,100,13.6,7.4,0.136
1166,Dunhill Pure  ,75,24.95,6.9,0.33266666666666667
1167,Cuba Gold  ,100,7.49,7.1,0.07490000000000001
1169,Laura Biagiotti Roma Uomo  ,75,23.99,7.5,0.31986666666666663
1170,Halston 1-12  ,125,8.8,7.5,0.0704
1171,Al Wataniah Attar Wesal  ,100,19.95,8.4,0.19949999999999998
1172,Geo F Trumper GFT  ,50,51.99,7.2,1.0398
1173,Jeanne Arthes Boum Metal  ,100,7.8,7.0,0.078
1174,Burberry Weekend For Men  ,50,18.93,6.6,0.3786
1176,Baldessarini UOMO  ,50,22.35,6.6,0.447
1177,Thierry Mugler A*Men Ultimate  ,100,69.95,7.8,0.6995
1178,Gant Ivy  ,100,63.2,6.8,0.632
1179,Bruno Banani Man  ,100,13.16,6.6,0.1316
1180,Tom Ford Noir Extreme  ,50,92.99,8.4,1.8598
1181,Giorgio Armani Code Pour Homme  ,50,55.0,8.0,1.1
1182,Chanel Allure  ,50,94.99,8.3,1.8998
1183,Bentley Momentum  ,100,21.33,7.5,0.2133
1184,Azzaro Visit Men  ,100,39.49,7.7,0.39490000000000003
1186,Tabac Man Gravity  ,30,12.65,7.0,0.4216666666666667
1187,Jaguar Classic Red  ,100,11.3,7.3,0.113
1188,Jaguar Stance  ,100,14.0,6.0,0.14
1189,Al Haramain Signature Men  ,100,11.73,7.4,0.1173
1190,Armaf Tag Him Prestige Edition  ,100,10.9,7.8,0.109
1192,Jeanne Arthes Fuel Power Men  ,100,9.75,7.4,0.0975
1193,Zadig & Voltaire This Is Him! Vibes of Freedom  ,50,22.5,6.7,0.45
1194,Fred Hayman Touch For Men  ,100,17.71,7.6,0.1771
1195,Perry Ellis 360 For Men  ,200,27.2,7.5,0.136
1196,Jaguar Classic Motion  ,100,10.45,6.2,0.1045
1199,Jean Paul Gaultier Le Male Elixir Absolu  ,200,114.45,7.8,0.57225
1200,Ralph Lauren Polo 67  ,75,32.95,8.0,0.43933333333333335
1201,Creed Original Vetiver  ,100,243.8,8.0,2.438
1202,Carolina Herrera CH Men  ,200,77.75,8.2,0.38875
1203,Mandarina Duck Vida Loca For Him  ,100,17.49,7.5,0.17489999999999997
1204,Floris Santal  ,50,41.85,7.3,0.8370000000000001
1205,Lattafa The Kingdom Men  ,100,22.49,8.2,0.2249
1206,Iceberg Eau de Iceberg Cedar  ,100,11.79,7.1,0.11789999999999999
1208,David Beckham Follow Your Instinct  ,50,13.59,6.6,0.2718
1209,Giorgio Armani Code Profumo  ,200,734.99,7.8,3.67495
1210,BVLGARI Man Wood Essence  ,150,96.15,6.7,0.641
1211,Karl Lagerfeld Bois De Vetiver  ,100,24.8,7.2,0.248
1212,Yves Saint Laurent Y Men  ,200,79.99,7.5,0.39994999999999997
1213,Afnan Supremacy Incense  ,100,27.15,7.6,0.27149999999999996
1214,Davidoff Horizon Extreme  ,75,20.4,6.0,0.27199999999999996
1215,Acqua Di Parma Colonia Intensa  ,50,78.74,7.7,1.5748
1216,Carolina Herrera Bad Boy Cobalt  ,50,56.95,7.5,1.139
1218,Rabanne Invictus Platinum  ,100,110.0,7.1,1.1
1219,Caron Yatagan  ,125,73.49,7.8,0.58792
1220,Azzaro Chrome  ,100,41.24,6.9,0.41240000000000004
1221,Swiss Arabian Bergamot and Patchouli  ,100,21.08,8.6,0.2108
1225,Bentley Momentum Unbreakable Men  ,100,23.72,7.1,0.2372
1226,Azzaro Chrome  ,50,28.65,6.9,0.573
1228,Giorgio Armani Stronger With You  ,100,72.3,8.3,0.723
1229,Chanel Allure Homme Sport  ,100,124.99,8.3,1.2499
1230,Davidoff Horizon  ,125,18.99,6.8,0.15192
1231,Ferrari Scuderia Black  ,125,22.49,6.6,0.17992
1232,Chanel Egoiste  ,50,99.5,8.1,1.99
1233,Mercedes-Benz Club Extreme  ,100,59.0,7.7,0.59
1234,Playboy London  ,100,4.95,6.5,0.0495
1235,Dior Homme  ,150,115.99,8.5,0.7732666666666667
1236,Dolce & Gabbana Light Blue Pour Homme  ,100,42.95,7.6,0.42950000000000005
1237,Diesel D Red Le  ,30,26.46,6.6,0.882
1238,Ted Baker Skinwear Limited Edition  ,100,14.99,7.3,0.1499
1239,David Beckham Intimately for Him  ,30,9.95,6.7,0.33166666666666667
1240,Kenzo Jungle Pour Homme  ,100,79.95,7.9,0.7995
1241,Firetrap for Him  ,75,10.64,7.2,0.14186666666666667
1242,Abercrombie & Fitch Authentic Moment Men  ,100,31.2,7.6,0.312
1243,Kenneth Cole Black For Him  ,100,27.3,6.7,0.273
1244,Rasasi La Yuqawam Ambergris Showers  ,75,44.4,7.9,0.592
1245,Cartier Déclaration  ,50,50.95,7.4,1.0190000000000001
1246,Milton-Lloyd Me Too! Homme  ,50,8.25,8.2,0.165
1247,Carolina Herrera 212 VIP Black Smiley  ,100,78.95,7.1,0.7895
1249,Calvin Klein Eternity For Men Summer 2020  ,100,29.99,7.6,0.2999
1250,Lalique Encre Noire Sport  ,100,15.9,7.7,0.159
1251,Jimmy Choo Urban Hero Gold Edition  ,100,44.2,5.7,0.442
1252,Tommy Hilfiger Tommy  ,200,33.3,7.2,0.16649999999999998
1253,Azzaro Chrome Legend  ,125,26.68,6.8,0.21344
1254,Azzaro Chrome Legend  ,40,14.84,6.8,0.371
1255,Nasomatto Pardon  ,30,109.3,8.2,3.643333333333333
1256,Dunhill Icon Elite  ,50,82.39,7.2,1.6478
1257,Prada L'Homme L'eau  ,150,95.0,8.2,0.6333333333333333
1258,John Varvatos Artisan Blu  ,125,33.1,7.4,0.26480000000000004
1259,"Lacoste L.12,12 Blanc Eau Fraiche  ",100,25.85,7.1,0.2585
1261,Bentley Momentum Intense  ,100,22.25,7.5,0.2225
1262,Calvin Klein Defy  ,200,35.95,5.9,0.17975000000000002
1263,BVLGARI Man Terrae Essence  ,100,46.95,7.2,0.46950000000000003
1264,Jean Paul Gaultier Le Male Pride Collector  ,125,63.95,6.5,0.5116
1265,Yves Saint Laurent Y Men  ,60,47.79,7.5,0.7965
1267,John Varvatos Artisan Pure  ,125,35.99,7.8,0.28792
1268,Prada L'Homme L'eau  ,50,51.75,8.2,1.035
1269,Replay True For Him  ,30,4.65,5.9,0.155
1270,Valentino Uomo Intense  ,50,139.99,8.3,2.7998000000000003
1271,Al Haramain Sheikh Men  ,85,17.0,6.3,0.2
1272,Police Rich Guy  ,100,18.85,6.7,0.1885
1273,Rasasi Egra Men  ,100,34.99,7.6,0.34990000000000004
1275,Estee Lauder Pleasures For Men  ,100,17.99,7.4,0.17989999999999998
1276,John Varvatos Artisan  ,125,38.38,7.8,0.30704000000000004
1279,Ralph Lauren Polo  ,118,46.95,7.8,0.3978813559322034
1281,Creed Viking Cologne ,50,200.0,7.4,4.0
1282,Guess 1981 Los Angeles Men  ,100,21.0,7.8,0.21
1283,Lacoste Live  ,40,33.0,5.5,0.825
1284,Diesel Only The Brave Tattoo  ,35,22.96,6.4,0.656
1285,Ralph Lauren Polo Deep Blue  ,125,46.74,7.7,0.37392000000000003
1286,Givenchy Pour Homme Blue Label  ,100,35.75,7.1,0.3575
1287,Dolce & Gabbana The One Mysterious Night  ,100,179.95,7.9,1.7994999999999999
1288,Montblanc Legend  ,30,18.1,7.5,0.6033333333333334
1289,Lacoste Eau De Lacoste L.12.12 Blanc  ,50,28.72,7.2,0.5744
1290,Dior Sauvage Eau Forte  ,100,140.8,5.8,1.4080000000000001
1291,Chanel Pour Monsieur  ,100,99.99,8.2,0.9998999999999999
1292,Dolce & Gabbana The One For Men  ,50,41.95,8.4,0.8390000000000001
1293,Chanel Allure Homme Sport Cologne ,100,104.99,8.2,1.0499
1294,Tom Ford Noir Extreme  ,150,148.05,8.4,0.9870000000000001
1295,BVLGARI Man Wood Essence  ,60,47.99,6.7,0.7998333333333334
1296,Gisada Ambassador Intense  ,100,81.2,7.7,0.812
1297,Roberto Cavalli Uomo Verde Assoluto  ,100,36.0,8.8,0.36
1298,BVLGARI Aqva Marine Pour Homme  ,50,55.95,7.4,1.119
1299,Kiton Black  ,125,45.95,7.7,0.36760000000000004
1300,Rayhaan Ellwood  ,100,44.02,5.4,0.44020000000000004
1301,Atkinsons James  ,100,82.01,7.2,0.8201
1302,Giorgio Armani Acqua di Giò  ,30,73.4,8.3,2.4466666666666668
1303,Gisada Ambassador For Men  ,100,98.0,7.5,0.98
1304,Pal Zileri Collezione Privata Colonia Purissima  ,100,25.0,7.4,0.25
1305,Etienne Aigner No 1  ,50,23.71,7.6,0.4742
1309,Fila F-Vibes  ,100,18.89,6.4,0.1889
1310,Cuba Royal Fortune  ,100,8.4,8.0,0.084
1311,Roger & Gallet Shiso  ,100,24.99,7.2,0.24989999999999998
1312,Jacques Bogart One Man Show  ,100,12.95,7.4,0.1295
1313,Bruno Banani Magnetic Man  ,50,7.91,6.2,0.1582
1314,Maison Francis Kurkdjian Amyris Homme  ,70,428.53,8.0,6.121857142857142
1315,Calvin Klein Eternity for Men  ,200,47.95,6.7,0.23975000000000002
1316,Antonio Banderas The Golden Secret  ,200,21.05,6.5,0.10525000000000001
1317,Rabanne Invictus Elixir  ,50,66.88,7.7,1.3376
1321,Armaf The Lions Club Rugir  ,100,32.2,5.7,0.322
1322,Prada Luna Rossa Black  ,150,100.64,8.2,0.6709333333333334
1323,Zadig & Voltaire This is Him! Vibes of Freedom  ,100,31.75,6.7,0.3175
1324,Gucci Guilty Essence  ,90,52.09,6.7,0.5787777777777778
1325,Montblanc Emblem Absolu  ,100,51.53,7.0,0.5153
1326,Chanel Allure Homme Sport  ,60,79.99,8.3,1.3331666666666666
1328,Dunhill Century  ,135,30.2,7.6,0.2237037037037037
1329,Issey Miyake L'Eau Bleue D'Issey Eau Fraiche  ,125,251.99,7.1,2.01592
1330,Crossmen  ,200,11.75,6.8,0.05875
1331,Baldessarini Cool Force Sport  ,50,19.95,6.5,0.39899999999999997
1332,Ajmal Shiro  ,90,18.8,5.8,0.2088888888888889
1333,Adolfo Dominguez Agua Fresca Citrus Cedro  ,120,31.99,7.8,0.26658333333333334
1334,Cartier Pasha De Édition Noire  ,150,109.99,7.3,0.7332666666666666
1336,Roccobarocco My Sir  ,100,24.51,8.0,0.2451
1337,Hugo Boss The Scent Pure Accord For Him  ,50,27.4,6.1,0.5479999999999999
1338,Al Wataniah Massad  ,100,49.99,8.7,0.4999
1339,Tabac Original Cologne  ,50,7.95,7.5,0.159
1340,Rabanne PHANTOM Intense  ,100,66.39,7.2,0.6639
1341,Dana Rapport  ,50,14.99,7.3,0.2998
1342,Lalique Pour Homme Lion  ,125,64.5,7.9,0.516
1343,Antonio Banderas Blue Seduction For Men  ,50,15.2,7.5,0.304
1344,AVON Attraction  ,75,12.99,7.3,0.1732
1345,El Ganso Like Father Like Son  ,125,22.55,7.5,0.1804
1346,Yves Saint Laurent MYSLF  ,100,104.55,7.4,1.0454999999999999
1348,Antonio Banderas Power Of Seduction  ,100,14.95,7.5,0.1495
1350,AVON Absolute By Elite Gentleman  ,50,12.6,7.7,0.252
1351,Davidoff Cool Water Reborn Intense  ,100,41.99,6.4,0.4199
1352,Cristiano Ronaldo CR7  ,30,10.4,7.2,0.3466666666666667
1353,Rabanne 1 Million Cologne  ,75,157.49,6.7,2.0998666666666668
1354,Remy Marquis Shalis  ,100,20.99,7.2,0.20989999999999998
1355,Tom Ford Beau De Jour  ,50,104.3,8.2,2.086
1356,Kenzo L'Eau Pour Homme Glacée  ,50,34.4,7.3,0.688
1357,Hermes H24  ,15,22.39,7.4,1.4926666666666668
1358,Lalique L'Insoumis  ,100,29.95,7.5,0.2995
1359,Al Wataniah House Of Oud  ,100,30.54,8.3,0.3054
1360,Calvin Klein Eternity Aqua For Men  ,30,12.7,6.3,0.4233333333333333
1361,Moncler Pour Homme Sunrise  ,60,59.99,8.1,0.9998333333333334
1362,Anfar Smoky Wood  ,100,27.79,8.7,0.2779
1363,Lalique Encre Noire Sport  ,50,27.5,7.7,0.55
1364,Davidoff Horizon  ,75,24.37,6.8,0.32493333333333335
1368,Aramis Tuscany  ,100,120.28,8.0,1.2028
1369,Baldessarini Signature  ,50,21.66,7.2,0.43320000000000003
1370,Replay for Him  ,50,9.95,5.8,0.19899999999999998
1371,Zirh Ikon Chrome  ,125,12.64,5.2,0.10112
1372,Yohji Yamamoto Homme  ,100,59.95,8.3,0.5995
1373,David Beckham Beckham Classic Blue  ,50,7.63,6.6,0.15259999999999999
1374,Rabanne 1 Million  ,15,19.9,6.8,1.3266666666666667
1375,Mexx Summer Daydream  ,50,12.25,6.9,0.245
1376,Issey Miyake L'eau d'Issey pour Homme Eau Essentielle  ,125,89.25,6.6,0.714
1377,Issey Miyake L'eau D'issey Eau Essentielle  ,75,65.79,7.3,0.8772000000000001
1378,Police Potion Power  ,30,9.45,6.6,0.315
1379,Porsche Design The Essence Summer Ice  ,80,33.41,6.4,0.41762499999999997
1380,Brioni  ,100,64.95,8.1,0.6495000000000001
1381,Ajmal Chemystery  ,90,21.65,7.4,0.24055555555555555
1382,Annick Goutal Eau D'Hadrien  ,100,110.99,7.3,1.1098999999999999
1383,Calvin Klein Eternity For Men  ,200,42.95,6.7,0.21475000000000002
1384,Trussardi My Land  ,50,30.99,6.7,0.6198
1385,Issey Miyake L'Eau d' Pour Homme Solar Lavender  ,100,32.95,7.1,0.3295
1386,Guerlain L'homme Ideal  ,50,37.45,8.4,0.7490000000000001
1389,Van Gils Basic Instinct  ,40,19.99,6.8,0.49974999999999997
1391,Geoffrey Beene Grey Flannel  ,30,63.68,7.2,2.1226666666666665
1392,Arabian Oud Bullet  ,100,135.0,8.5,1.35
1393,Coach Blue  ,60,31.99,6.5,0.5331666666666667
1394,David Beckham Bold Instinct  ,30,34.99,6.9,1.1663333333333334
1395,Jesus Del Pozo Halloween X Man  ,75,37.05,7.3,0.49399999999999994
1396,Acqua Dell Elba Blu Men  ,100,60.6,7.9,0.606
1397,L'Erbolario Ginepro Nero  ,100,35.5,7.9,0.355
1398,Chanel Allure Homme Sport Eau Extreme  ,50,95.99,8.3,1.9198
1399,Khadlaj Musk Al Sabah  ,100,39.32,7.0,0.3932
1400,Diesel Only the Brave Extreme  ,75,75.0,6.5,1.0
1403,Amouage Portrayal  ,100,265.0,7.9,2.65
1406,Dolce & Gabbana K  ,50,34.49,6.5,0.6898000000000001
1407,Mercedes Benz The Move  ,100,28.99,6.0,0.2899
1408,Kenzo Homme Marine  ,110,40.3,7.7,0.36636363636363634
1409,Bottega Veneta Pour Homme  ,50,209.99,7.6,4.1998
1410,Floris London No.89  ,10,21.03,7.5,2.103
1411,Michael Kors Pour Homme  ,100,48.45,7.0,0.48450000000000004
1414,Cartier Pasha De Cartier Noire Edition  ,100,49.4,7.3,0.494
1416,Hugo Boss BOSS Bottled  ,100,60.96,7.4,0.6096
1417,Cartier Déclaration  ,30,40.95,7.4,1.365
1418,Creed Himalaya  ,50,178.43,7.7,3.5686
1419,Frederic Malle French Lover  ,50,182.49,7.9,3.6498000000000004
1420,Bruno Banani Absolute Man  ,30,6.99,5.6,0.233
1421,Joop! Wow! For Men  ,40,11.05,7.3,0.27625
1422,David Beckham Classic  ,40,7.95,6.6,0.19875
1423,Prada Luna Rossa Ocean  ,10,12.0,7.0,1.2
1424,Chanel Platinum Egoiste  ,100,118.99,8.1,1.1899
1426,Hugo Boss Bottled Sport  ,50,38.93,5.1,0.7786
1427,Bruno Banani Pure Man  ,30,9.95,5.9,0.33166666666666667
1428,Hugo Boss Reversed  ,125,30.95,7.5,0.2476
1429,Givenchy Monsieur Givenchy  ,100,62.32,8.0,0.6232
1430,Maison Alhambra Galatea  ,100,14.94,7.7,0.1494
1431,Khadlaj Oud pour Noble  ,100,22.0,10.0,0.22
1432,Armaf Odyssey Mega  ,200,36.96,7.6,0.1848
1433,Creed Tabarome Millesime  ,100,189.0,7.2,1.89
1434,Azzaro Chrome Legend  ,75,15.95,6.8,0.21266666666666667
1435,Cuba Winner  ,100,8.92,6.8,0.0892
1436,Bugatti Dynamic Move Black  ,100,20.0,6.8,0.2
1437,French Avenue Sultry Woods  ,80,27.2,6.5,0.33999999999999997
1438,Lattafa Al Nashama  ,100,20.95,8.1,0.2095
1439,Armaf Odyssey Mandarin Sky  ,60,17.1,7.7,0.28500000000000003
1440,Salvatore Ferragamo Uomo Signature  ,100,33.55,7.7,0.33549999999999996
1441,Lattafa Confidential Platinum  ,100,24.99,7.2,0.24989999999999998
1442,Cristiano Ronaldo Legacy  ,50,65.99,7.5,1.3197999999999999
